000C29	VMware
000D3A	Microsoft
0010FA	3Com
0016CB	Apple
001B63	Apple
001E52	Apple
001EC2	Apple
0021E9	Apple
002332	Apple
0023DF	Apple
0025BC	Apple
002608	Apple
0026BB	Apple
0C4DE9	Apple
101C0C	Apple
109ADD	Apple
1C1AC0	Apple
1CABA7	Apple
205AB1	Apple
28E02C	Apple
2C1F23	Apple
3C0754	Apple
40A6D9	Apple
44D884	Apple
483B38	Apple
4C57CA	Apple
5855CA	Apple
5C9598	Apple
60334B	Apple
647C34	Apple
68967B	Apple
6C4008	Apple
6C72E7	Apple
70CD60	Apple
7CC537	Apple
80BE05	Apple
84788B	Apple
8863DF	Apple
8C7967	Apple
90720F	Apple
9803D8	Apple
A45E60	Apple
A8968A	Apple
B0BEC2	Apple
B8098A	Apple
BC5436	Apple
C0847A	Apple
C82A14	Apple
CC08E0	Apple
D023DB	Apple
D4619D	Apple
D8004D	Apple
DC2B2A	Apple
E0ACCB	Apple
E4CE8F	Apple
F02475	Apple
F41BA1	Apple
F4F951	Apple
F82793	Apple
FCFC48	Apple
002454	Samsung Electronics
0021D1	Samsung Electronics
0023D6	Samsung Electronics
002566	Samsung Electronics
0C1420	Samsung Electronics
1C5A3E	Samsung Electronics
1CAF05	Samsung Electronics
2C4401	Samsung Electronics
34145F	Samsung Electronics
38AA3C	Samsung Electronics
40163B	Samsung Electronics
44783E	Samsung Electronics
480241	Samsung Electronics
5001D9	Samsung Electronics
5CA39D	Samsung Electronics
6C2F2C	Samsung Electronics
78259C	Samsung Electronics
8C7712	Samsung Electronics
9401C2	Samsung Electronics
A00798	Samsung Electronics
ACC33A	Samsung Electronics
B47443	Samsung Electronics
C0BDD1	Samsung Electronics
CC07AB	Samsung Electronics
D0176A	Samsung Electronics
E8508B	Samsung Electronics
F0728C	Samsung Electronics
F8042E	Samsung Electronics
B827EB	Raspberry Pi Foundation
DCA632	Raspberry Pi Foundation
E45F01	Raspberry Pi Foundation
D83ADD	Raspberry Pi Trading
28CDC1	Raspberry Pi Trading
2CCF67	Raspberry Pi Trading
000FCC	Texas Instruments
0050F2	Microsoft
000D3A	Microsoft
7C1E52	Microsoft
28185F	Microsoft
C4EB42	Microsoft (Xbox)
DC985E	Microsoft
0024D7	Intel
001B21	Intel
3417EB	Intel
7085C2	Intel
A0369F	Intel
5CE0C5	Intel
000AF5	Cisco-Linksys
001310	Cisco-Linksys
001E58	Cisco
0023EA	Cisco
005056	VMware
000569	VMware
001C42	Parallels
080027	PCS Systemtechnik (VirtualBox)
000C29	VMware
005043	Compex
000B6B	AzureWave Technology
001D0F	AzureWave Technology
041E64	AzureWave Technology
9CB70D	AzureWave Technology
002500	TP-LINK
0C80EF	TP-LINK
14CC20	TP-LINK
1C3BF3	TP-LINK
3460F9	TP-LINK
50C7BF	TP-LINK
647002	TP-LINK
8416F9	TP-LINK
98DAC4	TP-LINK
A42BB0	TP-LINK
B0487A	TP-LINK
C4E984	TP-LINK
D8074F	TP-LINK
EC086B	TP-LINK
F4EC38	TP-LINK
001E42	NETGEAR
0009C0	NETGEAR
0022E5	NETGEAR
20E52A	NETGEAR
288A1C	NETGEAR
3C3786	NETGEAR
44944A	NETGEAR
6CB0CE	NETGEAR
841B5E	NETGEAR
A040A0	NETGEAR
C03F0E	NETGEAR
E091F5	NETGEAR
000CF6	ASUSTek COMPUTER
0011D8	ASUSTek COMPUTER
001731	ASUSTek COMPUTER
04D9F5	ASUSTek COMPUTER
10BF48	ASUSTek COMPUTER
